,PartyName,BillMilestoneList
0,CHT,"['BM9a', 'BM9a', 'BM12', 'BM12']"
1,CMI,"['BM9a', 'BM9a', 'BM12', 'BM12']"
2,DHT,"['BM9a', 'BM9a', 'BM12', 'BM12']"
3,Edge,"['BM9a', 'BM9a', 'BM12', 'BM12']"
4,KDDI,"['BM9a', 'BM9a', 'BM12', 'BM12']"
5,SKB,"['BM9a', 'BM9a', 'BM12', 'BM12']"
6,Singtel,"['BM9a', 'BM9a', 'BM12', 'BM12']"
7,TRUE,"['BM9a', 'BM9a', 'BM12', 'BM12']"
8,Telin,"['BM9a', 'BM9a', 'BM12', 'BM12']"
9,VNPT,"['BM9a', 'BM9a', 'BM12', 'BM12']"
